"regnum","pccode","pcpct","prodname"
54100171,47501,230000,"CRYSTALLITE ANTI-BACTERIAL GLASS CLEANER                              "
54100171,77402,300,"CRYSTALLITE ANTI-BACTERIAL GLASS CLEANER                              "
54100171,77404,200,"CRYSTALLITE ANTI-BACTERIAL GLASS CLEANER                              "
54100172,62201,6000,"CARPET-FOAM                                                           "
54100172,79011,57000,"CARPET-FOAM                                                           "
54100173,81405,1e+05,"PURITAN  2885 GERMICIDE CONCENTRATE                                   "
54100174,57001,1660,"A. A. I. ANIMAL AREA INSECTICIDE                                      "
54100174,63503,991840,"A. A. I. ANIMAL AREA INSECTICIDE                                      "
54100174,67501,1000,"A. A. I. ANIMAL AREA INSECTICIDE                                      "
54100174,69001,500,"A. A. I. ANIMAL AREA INSECTICIDE                                      "
54100174,84001,5000,"A. A. I. ANIMAL AREA INSECTICIDE                                      "
54100175,40501,1000,"FILTER KOTE BACTERIOSTATIC                                            "
54100175,69111,1000,"FILTER KOTE BACTERIOSTATIC                                            "
54100176,57001,4010,"F.H.I. FOOD HANDLERS' INSECTICIDE                                     "
54100176,63503,992370,"F.H.I. FOOD HANDLERS' INSECTICIDE                                     "
54100176,67501,2410,"F.H.I. FOOD HANDLERS' INSECTICIDE                                     "
54100176,69001,1210,"F.H.I. FOOD HANDLERS' INSECTICIDE                                     "
54100181,46619,150000,"GOSSAMER                                                              "
54100181,69104,28000,"GOSSAMER                                                              "
54100181,69111,28000,"GOSSAMER                                                              "
54100186,9001,1000,"OVER & OUT GENERAL PURPOSE INDOOR INSECTICIDE                         "
54100186,63503,999000,"OVER & OUT GENERAL PURPOSE INDOOR INSECTICIDE                         "
54100187,39107,10000,"PURITAN  3554                                                         "
54100187,47501,20000,"PURITAN  3554                                                         "
54100187,62201,30000,"PURITAN  3554                                                         "
54100187,76408,20000,"PURITAN  3554                                                         "
54100187,79009,120000,"PURITAN  3554                                                         "
54100188,6601,480000,"PURITAN  3387 HIGHLY CONCENTRATED FOGGING INSECTICIDE                 "
54100188,34401,1e+05,"PURITAN  3387 HIGHLY CONCENTRATED FOGGING INSECTICIDE                 "
54100188,57701,4e+05,"PURITAN  3387 HIGHLY CONCENTRATED FOGGING INSECTICIDE                 "
54100188,84001,20000,"PURITAN  3387 HIGHLY CONCENTRATED FOGGING INSECTICIDE                 "
54100189,76001,4e+05,"PURITAN  3470 CONCENTRATED DETERGENT-SANITIZER                        "
54100189,79010,55000,"PURITAN  3470 CONCENTRATED DETERGENT-SANITIZER                        "
54100190,6601,740000,"PURITAN  2462                                                         "
54100190,34401,50000,"PURITAN  2462                                                         "
54100190,57701,2e+05,"PURITAN  2462                                                         "
54100190,84001,10000,"PURITAN  2462                                                         "
54100193,12301,15000,"PURITAN  3820 TOTAL WEED KILLER                                       "
54100193,63001,8900,"PURITAN  3820 TOTAL WEED KILLER                                       "
54100193,63503,976100,"PURITAN  3820 TOTAL WEED KILLER                                       "
54100194,12301,15000,"PURITAN 3925 WEED KILLER                                              "
54100195,12501,7800,"PURITAN  3940 CHEMICAL LAWN TRIMMER                                   "
54100195,12502,45000,"PURITAN  3940 CHEMICAL LAWN TRIMMER                                   "
54100198,57001,1660,"STAR-KILL-RESIDUAL INSECTICIDE                                        "
54100198,57801,5000,"STAR-KILL-RESIDUAL INSECTICIDE                                        "
54100198,63503,991840,"STAR-KILL-RESIDUAL INSECTICIDE                                        "
54100198,67501,1000,"STAR-KILL-RESIDUAL INSECTICIDE                                        "
54100198,69001,500,"STAR-KILL-RESIDUAL INSECTICIDE                                        "
54100199,47802,40000,"CROAKS RESIDUAL INSECTICIDE CONCENTRATE WATER EMULSIFIABLE CONT BAYGON"
54100200,34401,106000,"PURITAN  2134 CONCENTRATED FOGGING INSECTICIDE                        "
54100200,63503,874000,"PURITAN  2134 CONCENTRATED FOGGING INSECTICIDE                        "
54100201,6601,870000,"PURITAN  4106 CONCENTRATED FOGGING INSECTICIDE                        "
54100201,53301,130000,"PURITAN  4106 CONCENTRATED FOGGING INSECTICIDE                        "
54100203,44901,2500,"PZAZZ BACTERIOSTATIC CREAM CLEANSER                                   "
54100205,6601,936400,"PURITAN  4583                                                         "
54100205,34401,12000,"PURITAN  4583                                                         "
54100205,57701,45000,"PURITAN  4583                                                         "
54100205,84001,2500,"PURITAN  4583                                                         "
54100212,57001,4010,"SIREN INDOOR SPACE & SURFACE SPRAY                                    "
54100212,63503,892370,"SIREN INDOOR SPACE & SURFACE SPRAY                                    "
54100212,67501,2410,"SIREN INDOOR SPACE & SURFACE SPRAY                                    "
54100212,69001,1210,"SIREN INDOOR SPACE & SURFACE SPRAY                                    "
54100214,6601,604000,"PURITAN  4676 HIGHLY CONCENTRATED FOGGING INSECTICIDE                 "
54100214,57701,375000,"PURITAN  4676 HIGHLY CONCENTRATED FOGGING INSECTICIDE                 "
54100215,6501,916700,"PURITAN  4715 SEMI-SOIL STERILANT                                     "
54100215,35502,31900,"PURITAN  4715 SEMI-SOIL STERILANT                                     "
54100217,6601,910500,"PURITAN  4677 HIGHLY CONCENTRATED FOGGING INSECTICIDE                 "
54100217,57701,85000,"PURITAN  4677 HIGHLY CONCENTRATED FOGGING INSECTICIDE                 "
54100223,64108,58000,"FORTISSIMO HOSPITAL GRADE DETERGENT-GERMICIDE                         "
54100223,64111,178000,"FORTISSIMO HOSPITAL GRADE DETERGENT-GERMICIDE                         "
54100229,4003,1210,"PURTAN NO. 5142 INDOOR SPACE AND SURFACE SPRAY                        "
54100229,57001,4010,"PURTAN NO. 5142 INDOOR SPACE AND SURFACE SPRAY                        "
54100229,63501,892370,"PURTAN NO. 5142 INDOOR SPACE AND SURFACE SPRAY                        "
54100229,67501,2410,"PURTAN NO. 5142 INDOOR SPACE AND SURFACE SPRAY                        "
54100230,69104,50000,"PURITAN  7402 QUATERNARY AMMONIUM GERMICIDE SANITIZING AGENT          "
54100230,69154,50000,"PURITAN  7402 QUATERNARY AMMONIUM GERMICIDE SANITIZING AGENT          "
