"pccode","casnum","pcname"
57301,3734972,"Chipman R-6,199                                                                                                                                                                                                                                              "
57301,3734972,"Amiton hydrogen oxalate                                                                                                                                                                                                                                      "
57301,3734972,"Amiton oxalate                                                                                                                                                                                                                                               "
57301,3734972,"O,O-Diethyl S-(.beta.-diethylamino)ethyl thiophosphate, hydrogen oxalate                                                                                                                                                                                     "
57301,3734972,"O,O-Diethyl S-(2-ethyl-N,N-diethylamino) phosphorothioate hydrogen oxalate                                                                                                                                                                                   "
57301,3734972,"Phosphorothioic acid, S-(2-(diethylamino)ethyl) O,O-diethyl ester, ethanedioate (1:1)                                                                                                                                                                        "
57301,3734972,"Tetram 75                                                                                                                                                                                                                                                    "
57301,3734972,"Citram                                                                                                                                                                                                                                                       "
57301,3734972,"ENT 20993                                                                                                                                                                                                                                                    "
57301,3734972,"Tetram monooxalate                                                                                                                                                                                                                                           "
57301,3734972,"S-(2-(Diethylamino)ethyl) O,O-diethyl phosphorothioate hydrogen oxalate                                                                                                                                                                                      "
57301,3734972,"Tetram                                                                                                                                                                                                                                                       "
57301,3734972,"Tetram, acid oxalate                                                                                                                                                                                                                                         "
57301,3734972,"Phosphorothioic acid, S-((2-diethylamino)ethyl) O,O-diethyl ester, oxalate (1:1)                                                                                                                                                                             "
57301,3734972,"Hydrogen oxalate of Amiton                                                                                                                                                                                                                                   "
57302,78535,"O,O-Diethyl S-(2-(diethylamino)ethyl) phosphorothioate                                                                                                                                                                                                       "
57302,78535,"ENT 24,980-X                                                                                                                                                                                                                                                 "
57302,78535,"Metramak                                                                                                                                                                                                                                                     "
57302,78535,"R-1,158                                                                                                                                                                                                                                                      "
57302,78535,"Phosphorothioic acid, S-(2-(diethylamino)ethyl) O,O-diethyl ester                                                                                                                                                                                            "
57302,78535,"Tetram                                                                                                                                                                                                                                                       "
57302,78535,"Inferno                                                                                                                                                                                                                                                      "
57302,78535,"Citram                                                                                                                                                                                                                                                       "
57302,78535,"DSDP                                                                                                                                                                                                                                                         "
57302,78535,"Rhodia-6200                                                                                                                                                                                                                                                  "
57302,78535,"Metramatic                                                                                                                                                                                                                                                   "
57302,78535,"Amiton                                                                                                                                                                                                                                                       "
57302,78535,"S-(2-(Diethylamino)ethyl) O,O-diethyl phosphorothioate                                                                                                                                                                                                       "
57401,56382,"Use code no. 057501                                                                                                                                                                                                                                          "
57501,56382,"Diethyl p-nitrophenyl monothiophosphate                                                                                                                                                                                                                      "
57501,56382,"Parathion                                                                                                                                                                                                                                                    "
57501,56382,"O,O-Diethyl O-(4-nitrophenyl)phosphorothioate                                                                                                                                                                                                                "
57501,56382,"Ethyl parathion                                                                                                                                                                                                                                              "
