"regnum","pccode","pcpct","prodname"
481600686,69001,4500,"WASP AND HORNET CONCENTRATE II                                        "
481600692,67501,50000,"DOUBLE-ACTION FLEA & TICK POWDER II                                   "
481600692,69001,5000,"DOUBLE-ACTION FLEA & TICK POWDER II                                   "
481600692,72602,812500,"DOUBLE-ACTION FLEA & TICK POWDER II                                   "
481600694,59101,5000,"SYNTHRIN DURSBAN AQUEOUS RESIDUAL SPRAY                               "
481600694,97801,1100,"SYNTHRIN DURSBAN AQUEOUS RESIDUAL SPRAY                               "
481600697,71003,10000,"ROTACIDE E.C.                                                         "
481600702,67501,50000,"PYRENONE II PET POWDER                                                "
481600702,69001,5000,"PYRENONE II PET POWDER                                                "
481600702,72602,1e+05,"PYRENONE II PET POWDER                                                "
481600705,109701,1e+05,"PERMANONE 10% S.E.C.                                                  "
481600720,67501,133400,"PYRENONE C.S.E. 13.34-1.10                                            "
481600720,69001,11000,"PYRENONE C.S.E. 13.34-1.10                                            "
481600727,67501,40000,"PYRENONE LICE KILLING SHAMPOO                                         "
481600727,69001,3300,"PYRENONE LICE KILLING SHAMPOO                                         "
481600754,67501,133400,"PYRENONE CSE - PPC                                                    "
481600754,69001,11000,"PYRENONE CSE - PPC                                                    "
482100001,47501,30000,"P H FORMULA - 10 SCENT-O-PINE DISINFECTANT                            "
482100001,62203,35000,"P H FORMULA - 10 SCENT-O-PINE DISINFECTANT                            "
482100001,67002,70000,"P H FORMULA - 10 SCENT-O-PINE DISINFECTANT                            "
482100001,79009,72500,"P H FORMULA - 10 SCENT-O-PINE DISINFECTANT                            "
482100002,39107,5000,"PALMER'S PINEARO PINE ODOR DISINFECTANT CONCENTRATE                   "
482100002,47501,90000,"PALMER'S PINEARO PINE ODOR DISINFECTANT CONCENTRATE                   "
482100002,62203,39000,"PALMER'S PINEARO PINE ODOR DISINFECTANT CONCENTRATE                   "
482100002,67002,170000,"PALMER'S PINEARO PINE ODOR DISINFECTANT CONCENTRATE                   "
482100002,79009,60000,"PALMER'S PINEARO PINE ODOR DISINFECTANT CONCENTRATE                   "
482100003,67205,8e+05,"PALMER'S PINEMAX PINE OIL DISINFECTANT CONCENTRATE                    "
482100003,79009,1e+05,"PALMER'S PINEMAX PINE OIL DISINFECTANT CONCENTRATE                    "
482100004,22101,505000,"PALMER'S TECHNICAL CREOSOL COMPOUND (SAPONATED CRESOL SOLUTION)       "
482100004,79009,255000,"PALMER'S TECHNICAL CREOSOL COMPOUND (SAPONATED CRESOL SOLUTION)       "
482100008,39107,10000,"PALMER'S CSS                                                          "
482100008,69104,8000,"PALMER'S CSS                                                          "
482100008,69154,8000,"PALMER'S CSS                                                          "
482100008,72604,24000,"PALMER'S CSS                                                          "
482100009,69104,45000,"PALMER'S CHALLENGE DETERGENT/DISINFECTANT                             "
482100009,69154,45000,"PALMER'S CHALLENGE DETERGENT/DISINFECTANT                             "
482200005,57001,2500,"RAID INSECT SPRAY                                                     "
482200005,67501,1500,"RAID INSECT SPRAY                                                     "
482200005,69001,750,"RAID INSECT SPRAY                                                     "
482200006,32101,50000,"RAID MOTH PROOFER                                                     "
482200006,63503,650000,"RAID MOTH PROOFER                                                     "
482200007,80301,5e+05,"OFF! LIQUID INSECT REPELLENT                                          "
482200008,62201,1000,"JOHNSON JUBILEE KITCHEN WAX                                           "
482200010,80301,150000,"OFF! PRESSURIZED INSECT REPELLENT                                     "
482200017,83902,990000,"KNOCK OUT                                                             "
482200025,57001,5000,"RAID INSECT SPRAY POWER PACKED                                        "
482200025,67501,3000,"RAID INSECT SPRAY POWER PACKED                                        "
482200025,69001,1500,"RAID INSECT SPRAY POWER PACKED                                        "
482200028,30028,15900,"RAID WEED KILLER                                                      "
482200029,56801,10000,"RAID ROSE AND FLOWER SPRAY                                            "
482200029,63503,250,"RAID ROSE AND FLOWER SPRAY                                            "
482200029,67501,2560,"RAID ROSE AND FLOWER SPRAY                                            "
482200029,69001,250,"RAID ROSE AND FLOWER SPRAY                                            "
482200029,71003,1280,"RAID ROSE AND FLOWER SPRAY                                            "
482200029,71004,2370,"RAID ROSE AND FLOWER SPRAY                                            "
482200029,81601,7000,"RAID ROSE AND FLOWER SPRAY                                            "
482200034,57001,10000,"RAID FLYING INSECT KILLER                                             "
482200034,67501,10000,"RAID FLYING INSECT KILLER                                             "
482200034,69001,2000,"RAID FLYING INSECT KILLER                                             "
482200036,67501,20000,"JOHNSON BUGGY WHIP AIRBORNE BUG KILLER                                "
482200036,69001,4000,"JOHNSON BUGGY WHIP AIRBORNE BUG KILLER                                "
482200038,67501,10500,"RAID HOUSE & GARDEN BUG KILLER                                        "
482200038,69001,2500,"RAID HOUSE & GARDEN BUG KILLER                                        "
482200050,39101,9190,"JOHNSON'S NEW FORMULA CREW                                            "
482200050,47501,9280,"JOHNSON'S NEW FORMULA CREW                                            "
482200050,64104,1500,"JOHNSON'S NEW FORMULA CREW                                            "
482200050,76601,930,"JOHNSON'S NEW FORMULA CREW                                            "
482200051,80301,180000,"OFF! INSECT REPELLENT FOAM TYPE                                       "
482200054,45901,144400,"JOHNSON GO-GETTER THE WORKING FOAM BOWL CLEANER                       "
482200056,34001,10000,"RAID YARD GUARD OUTDOOR FOGGER                                        "
482200056,46301,10000,"RAID YARD GUARD OUTDOOR FOGGER                                        "
482200056,67501,10000,"RAID YARD GUARD OUTDOOR FOGGER                                        "
482200056,69001,2000,"RAID YARD GUARD OUTDOOR FOGGER                                        "
