"regnum","pccode","pcpct","prodname"
4697800002,69183,120000,"MICROBICIDE  QA - 6012                                                "
4697800003,69183,120000,"ALGATEC                                                               "
4697800004,69183,3e+05,"WATERTEC                                                              "
4698000001,88601,18800,"RIDALL-Z                                                              "
4698200002,69105,2e+05,"AS-505 WATER TREATMENT MICROBIOCIDE                                   "
4698200002,69149,75000,"AS-505 WATER TREATMENT MICROBIOCIDE                                   "
4698200002,69165,150000,"AS-505 WATER TREATMENT MICROBIOCIDE                                   "
4698200002,69166,75000,"AS-505 WATER TREATMENT MICROBIOCIDE                                   "
4698200003,46621,5e+05,"AS-550                                                                "
4698200004,69183,150000,"AS-518                                                                "
4698200005,34803,5e+05,"AS-515                                                                "
4698200006,39002,203000,"AS-516                                                                "
4698200006,63301,147000,"AS-516                                                                "
4698200007,35603,3e+05,"AS-517                                                                "
4698200008,69183,6e+05,"AS-519                                                                "
4698200009,107103,11100,"AS-790                                                                "
4698200009,107104,3700,"AS-790                                                                "
4698300001,43302,12500,"OLYMPIC INSECT REPELLENT                                              "
4698300001,47201,12500,"OLYMPIC INSECT REPELLENT                                              "
4698300001,57001,50000,"OLYMPIC INSECT REPELLENT                                              "
4698300001,80301,250000,"OLYMPIC INSECT REPELLENT                                              "
4698300002,80301,1e+06,"EDDIE BAUER INSECT FORMULA                                            "
4698400001,80803,5510,"SUNCOAST WEED CONTROL PLUS LAWN FERTILIZER                            "
4698400004,80803,5510,"P.P.C. WEED CONTROL PLUS LAWN FERTILIZER                              "
4700000001,63503,101000,"CT METERED INSECTICIDE AEROSOL                                        "
4700000001,67501,90000,"CT METERED INSECTICIDE AEROSOL                                        "
4700000001,69001,9000,"CT METERED INSECTICIDE AEROSOL                                        "
4700000002,4003,3230,"CT TOTAL RELEASE FOGGER                                               "
4700000002,69005,2000,"CT TOTAL RELEASE FOGGER                                               "
4700000002,84001,5000,"CT TOTAL RELEASE FOGGER                                               "
4700000007,57001,30000,"AUTOMIST INSECT KILLER                                                "
4700000007,67501,20000,"AUTOMIST INSECT KILLER                                                "
4700000007,69001,10000,"AUTOMIST INSECT KILLER                                                "
4700000008,67501,90000,"CHEM TECH METERED REFILL                                              "
4700000008,69001,9000,"CHEM TECH METERED REFILL                                              "
4700000009,57701,570000,"MALATHION 5-E GRAIN PROTECTANT CONTAINS CYTHION                       "
4700000010,57701,20000,"2% MALATHION BACKRUBBER SOLUTION                                      "
4700000011,6602,750000,"DAIRY FOG (20% VAPONA)                                                "
4700000011,84001,2e+05,"DAIRY FOG (20% VAPONA)                                                "
4700000012,77901,250,"ECONOMY RIDZ PROLIN RAT & MOUSE KILLER                                "
4700000012,86002,250,"ECONOMY RIDZ PROLIN RAT & MOUSE KILLER                                "
4700000013,58801,10200,"CIODRIN-VAPONA INSECTICIDE                                            "
4700000013,63503,985200,"CIODRIN-VAPONA INSECTICIDE                                            "
4700000013,84001,2300,"CIODRIN-VAPONA INSECTICIDE                                            "
4700000014,9001,125000,"ECONOMY CATTLE & STOCK INSECTICIDE                                    "
4700000015,67501,10000,"ECONOMY PYRENONE AEROSOL SPRAY                                        "
4700000015,69001,2000,"ECONOMY PYRENONE AEROSOL SPRAY                                        "
4700000016,9001,4500,"RANGE CATTLE LIVESTOCK & SHEEP DIP CONCENTRATE                        "
4700000016,63503,415500,"RANGE CATTLE LIVESTOCK & SHEEP DIP CONCENTRATE                        "
4700000016,80501,450000,"RANGE CATTLE LIVESTOCK & SHEEP DIP CONCENTRATE                        "
4700000016,86802,50000,"RANGE CATTLE LIVESTOCK & SHEEP DIP CONCENTRATE                        "
4700000017,84001,445000,"ECONOMY'S VAPONA INSECTICIDE EMULSIBLE CONCENTRATE                    "
4700000019,57001,2000,"DY-FLY I LIVESTOCK SPRAY                                              "
4700000019,67501,1200,"DY-FLY I LIVESTOCK SPRAY                                              "
4700000019,69001,600,"DY-FLY I LIVESTOCK SPRAY                                              "
4700000020,86002,5000,"RAT-ON                                                                "
