"regnum","pccode","pcpct","prodname"
300001,11001,4e+05,"HARRIS FAMOUS ROACH TABLETS                                           "
300003,11001,4e+05,"HARRIS FAMOUS ROACH KILLER                                            "
300005,59101,5000,"FORMULA BF-101 (ROACH AND ANT KILLER)                                 "
300006,59101,5000,"FORMULA BF-201 (ROACH AND ANT KILLER)                                 "
300006,97801,1000,"FORMULA BF-201 (ROACH AND ANT KILLER)                                 "
300007,59101,5000,"FORMULA BF-301 (FLEA AND TICK KILLER)                                 "
300007,97801,1000,"FORMULA BF-301 (FLEA AND TICK KILLER)                                 "
300010,11001,990000,"HARRIS FAMOUS ROACH POWDER                                            "
300011,97805,300,"HARRIS HOME PEST CONTROL                                              "
300012,109702,260000,"HARRIS HOME PEST CONTROL CONCENTRATE                                  "
300013,97805,10000,"HARRIS DELTAMAX CONCENTRATE INSECTICIDE                               "
320201,11001,990000,"HARRIS ROACH POWDER                                                   "
400005,40501,5000,"BONIDE FLEA-TICK-LICE POWDER                                          "
400005,71003,12500,"BONIDE FLEA-TICK-LICE POWDER                                          "
400005,71004,25000,"BONIDE FLEA-TICK-LICE POWDER                                          "
400015,70801,1e+05,"ONE-SHOT RAT KILLER                                                   "
400017,71003,10000,"ROTENONE 1.0% DUST                                                    "
400017,71004,15000,"ROTENONE 1.0% DUST                                                    "
400021,54002,13000,"ROTOSYN ROTENONE DUST                                                 "
400021,71003,3500,"ROTOSYN ROTENONE DUST                                                 "
400021,71004,6500,"ROTOSYN ROTENONE DUST                                                 "
400023,6601,122000,"BONIDE BUG FOG                                                        "
400023,10002,17000,"BONIDE BUG FOG                                                        "
400023,34001,50000,"BONIDE BUG FOG                                                        "
400023,63503,811000,"BONIDE BUG FOG                                                        "
400024,76902,5000,"BONIDE ONE SHOT MOUSE KILLER                                          "
400029,8101,70000,"BONIDE VEGETABLE FLORAL DUST OR SPRAY                                 "
400029,56801,12500,"BONIDE VEGETABLE FLORAL DUST OR SPRAY                                 "
400029,71003,5000,"BONIDE VEGETABLE FLORAL DUST OR SPRAY                                 "
400029,71004,10000,"BONIDE VEGETABLE FLORAL DUST OR SPRAY                                 "
400030,8101,70000,"BONIDE ROTENONE-COPPER DUST                                           "
400030,71003,7500,"BONIDE ROTENONE-COPPER DUST                                           "
400030,71004,15000,"BONIDE ROTENONE-COPPER DUST                                           "
400037,30033,334000,"BONIDE 20% 2,4-D                                                      "
400046,30004,59800,"BONIDE DIOWEED DUST WEED KILLER CONTAIN 5% 2,4-D                      "
400052,30033,668000,"BONIDE 40% 2,4-DIOWEED WEED KILLER                                    "
400053,8101,70000,"BONIDE CUKE AND MELON DUST                                            "
400053,71003,15000,"BONIDE CUKE AND MELON DUST                                            "
400053,71004,22000,"BONIDE CUKE AND MELON DUST                                            "
400056,58201,50000,"BONIDE 5% CHLORDANE DUST                                              "
400058,8101,70000,"BONIDE COPPER SPRAY OR DUST                                           "
400059,56801,5000,"BONIDE ROSE AND FLOWER DUST                                           "
400059,57701,30000,"BONIDE ROSE AND FLOWER DUST                                           "
400059,81301,58700,"BONIDE ROSE AND FLOWER DUST                                           "
400062,77501,9e+05,"BONIDE SULPHUR PLANT FUNGICIDE MICRONIZED SPRAY OR DUST               "
400066,71501,4e+05,"BONIDE SWEET CORN & FRUIT SPRAY-DUST                                  "
400067,58201,1e+05,"BONIDE 10% CHLORDANE DUST                                             "
400076,9001,250000,"BONIDE LINDANE 25% W INSECTICIDE SPRAY POWDER                         "
400078,56801,1e+05,"BONIDE SEVIN 10% LAWN, TURF & GARDEN INSECT KILLER                    "
400080,63502,980000,"BONIDE HORTICULTURAL AND DORMANT SPRAY OIL                            "
400081,71003,7500,"BONIDE BLUE DEATH .75% ROTENONE GARDEN DUST                           "
400081,71004,15000,"BONIDE BLUE DEATH .75% ROTENONE GARDEN DUST                           "
400084,9001,2e+05,"BONIDE BORER-MINER KILLER 20%                                         "
400090,86002,250,"BONIDE TOM CAT                                                        "
400091,63503,127500,"BONIDE FLYING & CRAWLING INSECT KILLER                                "
400091,67501,20000,"BONIDE FLYING & CRAWLING INSECT KILLER                                "
400091,69001,2500,"BONIDE FLYING & CRAWLING INSECT KILLER                                "
400092,58201,82000,"TURF KARE GRUB & INSECT KILLER                                        "
400092,63503,10000,"TURF KARE GRUB & INSECT KILLER                                        "
400093,34001,150000,"BONIDE MANY PURPOSE SPRAY                                             "
400093,36001,12900,"BONIDE MANY PURPOSE SPRAY                                             "
400093,57701,75000,"BONIDE MANY PURPOSE SPRAY                                             "
400093,81301,1e+05,"BONIDE MANY PURPOSE SPRAY                                             "
400096,58201,740000,"BONIDE CHLORDANE 74% E                                                "
400096,63503,2e+05,"BONIDE CHLORDANE 74% E                                                "
400099,57701,5e+05,"MALATHION 50% EC                                                      "
400103,6501,11000,"BONIDE ROSE AND FLOWER SPRAY OR DUST WITH LINDANE                     "
400103,9001,5000,"BONIDE ROSE AND FLOWER SPRAY OR DUST WITH LINDANE                     "
400103,10501,10000,"BONIDE ROSE AND FLOWER SPRAY OR DUST WITH LINDANE                     "
400103,54002,19000,"BONIDE ROSE AND FLOWER SPRAY OR DUST WITH LINDANE                     "
400103,56801,40000,"BONIDE ROSE AND FLOWER SPRAY OR DUST WITH LINDANE                     "
400103,81601,65000,"BONIDE ROSE AND FLOWER SPRAY OR DUST WITH LINDANE                     "
400107,8101,50000,"BONIDE GARDEN DUST FOR VEGETABLES-FLOWERS                             "
400107,69001,300,"BONIDE GARDEN DUST FOR VEGETABLES-FLOWERS                             "
400107,71003,5000,"BONIDE GARDEN DUST FOR VEGETABLES-FLOWERS                             "
400107,71004,7500,"BONIDE GARDEN DUST FOR VEGETABLES-FLOWERS                             "
400107,77501,250000,"BONIDE GARDEN DUST FOR VEGETABLES-FLOWERS                             "
400109,13603,425000,"BONIDE SODIUM ARSENITE GRASS & WEED KILLER                            "
400110,57701,250000,"BONIDE 25% MALATHION WETTABLE SPRAY POWDER                            "
400113,13802,32800,"3 IN 1 WEED KILLER                                                    "
400113,30033,6800,"3 IN 1 WEED KILLER                                                    "
400113,82533,20900,"3 IN 1 WEED KILLER                                                    "
400114,30033,16000,"WEED & FEED GRANULES                                                  "
400115,9001,50000,"BONIDE EVERGREEN-FLOWER INSECT SPRAY                                  "
400115,10501,10000,"BONIDE EVERGREEN-FLOWER INSECT SPRAY                                  "
400115,56801,25000,"BONIDE EVERGREEN-FLOWER INSECT SPRAY                                  "
400115,57701,120000,"BONIDE EVERGREEN-FLOWER INSECT SPRAY                                  "
400118,34001,150000,"A COMPLETE FRUIT TREE SPRAY                                           "
400118,57701,75000,"A COMPLETE FRUIT TREE SPRAY                                           "
400118,81301,150000,"A COMPLETE FRUIT TREE SPRAY                                           "
400120,6501,775000,"BONIDE MOSQUITO FOG OIL OR SPRAY                                      "
