"regnum","pccode","pcpct","prodname"
859000545,101502,6e+05,"AGWAY IBP-2 GRAIN PRESERVATIVE                                        "
859000546,88601,20000,"AGWAY MOLE CONTROL                                                    "
859000547,34001,2e+05,"AGWAY WOODY INSECTICIDE SPRAY                                         "
859000547,57801,1e+05,"AGWAY WOODY INSECTICIDE SPRAY                                         "
859000547,86803,615000,"AGWAY WOODY INSECTICIDE SPRAY                                         "
859000548,56801,5000,"AGWAY WASP & HORNET KILLER NO.1                                       "
859000548,63503,242220,"AGWAY WASP & HORNET KILLER NO.1                                       "
859000548,67501,1880,"AGWAY WASP & HORNET KILLER NO.1                                       "
859000548,69001,750,"AGWAY WASP & HORNET KILLER NO.1                                       "
859000549,4003,520,"AGWAY RESIDUAL CONTACT SPRAY                                          "
859000549,6601,2820,"AGWAY RESIDUAL CONTACT SPRAY                                          "
859000549,57001,4000,"AGWAY RESIDUAL CONTACT SPRAY                                          "
859000549,59101,5000,"AGWAY RESIDUAL CONTACT SPRAY                                          "
859000549,63503,40,"AGWAY RESIDUAL CONTACT SPRAY                                          "
859000550,4003,5000,"AGWAY SPACE SPRAY II                                                  "
859000550,57001,16700,"AGWAY SPACE SPRAY II                                                  "
859000550,63503,968300,"AGWAY SPACE SPRAY II                                                  "
859000550,67501,10000,"AGWAY SPACE SPRAY II                                                  "
859000551,77702,995000,"AGWAY P GRAIN PRESERVATIVE                                            "
859000552,81301,5e+05,"AGWAY CAPTAN 50WP                                                     "
859000553,81301,8e+05,"CAPTAN 80WP                                                           "
859000554,81301,5e+05,"AGWAY FRUIT AND ORNAMENTAL FUNGICIDE                                  "
859000555,14504,8e+05,"AGWAY GARDEN FUNGICIDE M                                              "
859000557,63503,790000,"AGWAY GARDEN SPRAY CONCENTRATE                                        "
859000557,67501,1e+05,"AGWAY GARDEN SPRAY CONCENTRATE                                        "
859000557,69001,10000,"AGWAY GARDEN SPRAY CONCENTRATE                                        "
859000558,63503,20000,"AGWAY DAIRY AEROSOL                                                   "
859000558,67501,50000,"AGWAY DAIRY AEROSOL                                                   "
859000558,69001,5000,"AGWAY DAIRY AEROSOL                                                   "
859000559,63503,55000,"AGWAY DAIRY AEROSOL-I                                                 "
859000559,67501,40000,"AGWAY DAIRY AEROSOL-I                                                 "
859000559,69001,5000,"AGWAY DAIRY AEROSOL-I                                                 "
859000560,81601,750000,"AGWAY PHALTAN GARDEN SPRAY                                            "
859000561,9801,36000,"AGWAY GREENLAWN PLUS FERTILIZER WITH BETASAN CRABGRASS KILLER         "
859000562,63503,981250,"AGWAY LIVESTOCK & FARM SPRAY-1                                        "
859000562,67501,16750,"AGWAY LIVESTOCK & FARM SPRAY-1                                        "
859000562,69001,2000,"AGWAY LIVESTOCK & FARM SPRAY-1                                        "
859000563,34001,120000,"AGWAY LIQUID FRUIT TREE SPRAY                                         "
859000563,56801,30000,"AGWAY LIQUID FRUIT TREE SPRAY                                         "
859000563,57701,35000,"AGWAY LIQUID FRUIT TREE SPRAY                                         "
859000563,81301,120000,"AGWAY LIQUID FRUIT TREE SPRAY                                         "
859000563,86803,623300,"AGWAY LIQUID FRUIT TREE SPRAY                                         "
859000565,9801,70000,"AGWAY BETASAN 7-G                                                     "
859000566,79801,420000,"FLOWABLE THIRAM 4F                                                    "
